iter	RMSE
0	72.65679467
1	71.45534917
2	70.10123335
3	68.93666296
4	67.76036511
5	66.65561173
6	65.51288203
7	64.47102551
8	63.47713792
9	62.56399012
10	61.60738693
11	60.74194106
12	59.89501325
13	59.07142219
14	58.30745613
15	57.49960998
16	56.75430212
17	56.1362456
18	55.5133501
19	54.78486935
20	54.19346658
21	53.5738784
22	53.01517189
23	52.41448003
24	51.85914806
25	51.37767691
26	50.85070781
27	50.36678494
28	49.92008038
29	49.39760994
30	48.91552938
31	48.52376076
32	48.10798289
33	47.68306062
34	47.31983127
35	46.98795115
36	46.65488441
37	46.28513656
38	45.93838622
39	45.55966588
40	45.26621688
41	44.9840447
42	44.68706973
43	44.4238403
44	44.13480123
45	43.87224141
46	43.65098587
47	43.34936468
48	43.06601918
49	42.84230412
50	42.62525097
51	42.40925795
52	42.12053839
53	41.96478614
54	41.69232272
55	41.4449623
56	41.2315856
57	40.99576947
58	40.83489261
59	40.64166166
60	40.47219185
61	40.30247971
62	40.13007005
63	39.97495385
64	39.83610558
65	39.67982287
66	39.52118284
67	39.40544034
68	39.25326195
69	39.11614139
70	38.96844237
71	38.84045473
72	38.747942
73	38.65354503
74	38.53429745
75	38.42451662
76	38.27272331
77	38.16883918
78	38.06746256
79	37.93695391
80	37.83808787
81	37.74288846
82	37.62568498
83	37.55370718
84	37.4769837
85	37.38849097
86	37.31205139
87	37.25753668
88	37.17757379
89	37.05566961
90	36.96721728
91	36.88745652
92	36.80271359
93	36.70657092
94	36.64846563
95	36.57541866
96	36.47765969
97	36.41212166
98	36.33994208
99	36.27876524
100	36.19846814
101	36.13483133
102	36.08349333
103	36.01627938
104	35.96413945
105	35.88819299
106	35.82698368
107	35.75871606
108	35.68563732
109	35.61186147
110	35.54617034
111	35.49371912
112	35.44408838
113	35.37335298
114	35.30847374
115	35.24895535
116	35.20547929
117	35.15952466
118	35.11093034
119	35.0516707
120	35.01013006
121	34.9629887
122	34.91600869
123	34.87917598
124	34.82186934
125	34.79483399
126	34.74373212
127	34.6894221
128	34.66615865
129	34.61841201
130	34.56778258
131	34.54027074
132	34.50089992
133	34.44672511
134	34.41929765
135	34.39138393
136	34.33087539
137	34.29040495
138	34.26234615
139	34.21690798
140	34.18237432
141	34.13226614
142	34.0767473
143	34.0227416
144	33.99484503
145	33.96427744
146	33.93652519
147	33.90459473
148	33.84894988
149	33.81404041
150	33.79202271
151	33.75593308
152	33.71513803
153	33.68141187
154	33.65002263
155	33.61333413
156	33.57996811
157	33.55869653
158	33.52107486
159	33.4763776
160	33.44380517
161	33.39268396
162	33.36266523
163	33.32097514
164	33.28169622
165	33.24943805
166	33.21842337
167	33.19113044
168	33.16000541
169	33.13633853
170	33.09761356
171	33.0675247
172	33.03622991
173	33.00840587
174	32.99258816
175	32.9701183
176	32.94756317
177	32.92111873
178	32.89146732
179	32.86778693
180	32.84837368
181	32.80042308
182	32.75896603
183	32.73143153
184	32.7129405
185	32.66799297
186	32.63349869
187	32.60865723
188	32.58936179
189	32.56271855
190	32.5351251
191	32.50400878
192	32.46488181
193	32.43099959
194	32.39661074
195	32.35643499
196	32.33235772
197	32.30738478
198	32.26653767
199	32.22748751
200	32.19816964
201	32.17218811
202	32.132017
203	32.10779853
204	32.08661785
205	32.05211496
206	32.01769361
207	32.00198386
208	31.9579254
209	31.93109665
210	31.89361921
211	31.87162178
212	31.84447803
213	31.82257367
214	31.80978051
215	31.77596835
216	31.75565006
217	31.73477273
218	31.70858921
219	31.69115278
220	31.67007997
221	31.65069038
222	31.63477554
223	31.58393495
224	31.56576332
225	31.54506856
226	31.52782224
227	31.51003155
228	31.49185801
229	31.4667538
230	31.43853321
231	31.42002831
232	31.40001492
233	31.37927633
234	31.35359085
235	31.34191954
236	31.29802236
237	31.27627289
238	31.24673404
239	31.22871223
240	31.21115786
241	31.1961191
242	31.18052809
243	31.16499544
244	31.13611039
245	31.12096361
246	31.09970292
247	31.07607967
248	31.06264709
249	31.04501063
250	31.01655836
251	30.98384769
252	30.9654207
253	30.94841028
254	30.91884113
255	30.9017126
256	30.86874249
257	30.83488601
258	30.80423949
259	30.77800404
260	30.76225481
261	30.73253767
262	30.71984895
263	30.69835797
264	30.67891084
265	30.65877937
266	30.6355417
267	30.59972455
268	30.5815547
269	30.56937497
270	30.54602891
271	30.52672186
272	30.49722127
273	30.47137052
274	30.45736374
275	30.44228994
276	30.42217739
277	30.40710245
278	30.38086239
279	30.35442182
280	30.33324977
281	30.31655965
282	30.29932201
283	30.28339689
284	30.25818937
285	30.24609206
286	30.23025294
287	30.21424184
288	30.19257242
289	30.1701977
290	30.14622754
291	30.13069615
292	30.10953745
293	30.0808371
294	30.06180728
295	30.04026316
296	30.02355879
297	30.00228973
298	29.98385758
299	29.95520982
300	29.93006547
301	29.9122636
302	29.89715244
303	29.881197
304	29.85937597
305	29.84725366
306	29.83516517
307	29.81888961
308	29.79223595
309	29.76618797
310	29.74209216
311	29.71731515
312	29.70032263
313	29.6861792
314	29.66772624
315	29.64848688
316	29.63479316
317	29.62642246
318	29.60468465
319	29.58793683
320	29.58109571
321	29.54362015
322	29.52958077
323	29.51408891
324	29.49860798
325	29.48046874
326	29.45711194
327	29.44413728
328	29.43585484
329	29.41989895
330	29.40460169
331	29.39062192
332	29.36718004
333	29.35307553
334	29.34381272
335	29.3296405
336	29.31781909
337	29.30767857
338	29.28957773
339	29.27542555
340	29.2614028
341	29.23476208
342	29.21270553
343	29.19627526
344	29.18391565
345	29.17160809
346	29.15281258
347	29.13477122
348	29.1198479
349	29.10862196
350	29.0922262
351	29.08524055
352	29.06347603
353	29.05362289
354	29.03625709
355	29.02425948
356	28.99451518
357	28.97854835
358	28.96152149
359	28.94845771
360	28.93176786
361	28.92066647
362	28.90819113
363	28.8913386
364	28.87760343
365	28.86831321
366	28.85041164
367	28.83322651
368	28.81982651
369	28.81552785
370	28.81027838
371	28.79966948
372	28.78589068
373	28.76244926
374	28.75001848
375	28.73492182
376	28.72042911
377	28.71510226
378	28.70356759
379	28.69042764
380	28.67413702
381	28.65212919
382	28.63922179
383	28.6233838
384	28.60456472
385	28.59094639
386	28.57403042
387	28.55458655
388	28.54648667
389	28.54147484
390	28.53602731
391	28.51687523
392	28.50318555
393	28.49131717
394	28.48823728
395	28.47326636
396	28.46620162
397	28.45250883
398	28.43900541
399	28.42833252
400	28.41450366
401	28.40266193
402	28.39422827
403	28.37638812
404	28.36296606
405	28.35379129
406	28.34051933
407	28.32444374
408	28.30898171
409	28.29218497
410	28.27242052
411	28.2558006
412	28.23976246
413	28.22662613
414	28.2122459
415	28.20307275
416	28.18701839
417	28.17311998
418	28.16698198
419	28.15873806
420	28.14821657
421	28.13807963
422	28.12010412
423	28.11183687
424	28.10029135
425	28.08385813
426	28.08023518
427	28.06892499
428	28.06042085
429	28.04052835
430	28.02021429
431	28.00778673
432	27.99948974
433	27.99619631
434	27.98055965
435	27.97107847
436	27.95860266
437	27.94868318
438	27.9446596
439	27.93098426
440	27.92358357
441	27.90785649
442	27.89044576
443	27.87574843
444	27.86061228
445	27.84723868
446	27.83505966
447	27.83245473
448	27.82754782
449	27.81325512
450	27.80990927
451	27.80212476
452	27.79266625
453	27.78031895
454	27.76789131
455	27.75038229
456	27.74052498
457	27.72945498
458	27.72737958
459	27.72190951
460	27.70540549
461	27.68839174
462	27.67699424
463	27.66677586
464	27.65414054
465	27.65178085
466	27.63825684
467	27.62742831
468	27.61767087
469	27.61445684
470	27.60358613
471	27.58798445
472	27.56312739
473	27.54852868
474	27.5380027
475	27.52987892
476	27.51519268
477	27.51052178
478	27.49545878
479	27.4824201
480	27.46897939
481	27.45910631
482	27.45026374
483	27.42984204
484	27.42017522
485	27.41576388
486	27.39776507
487	27.38673699
488	27.37571233
489	27.35871127
490	27.35174707
491	27.34510914
492	27.32627513
493	27.31052875
494	27.30078435
495	27.28624826
496	27.28046178
497	27.26675105
498	27.25593919
499	27.24784608
500	27.24017571
501	27.22863719
502	27.21160062
503	27.20174536
504	27.18637826
505	27.17572773
506	27.16484263
507	27.15439177
508	27.14216464
509	27.13569588
510	27.12893965
511	27.11659518
512	27.108135
513	27.09600683
514	27.09352629
515	27.08248657
516	27.0736418
517	27.06098931
518	27.0527496
519	27.04546823
520	27.03374161
521	27.02437037
522	27.01292305
523	27.00280803
524	26.9935775
525	26.98222236
526	26.97133757
527	26.95571679
528	26.94706569
529	26.9340235
530	26.92301739
531	26.90842823
532	26.90141725
533	26.89420831
534	26.87990953
535	26.87012986
536	26.86625648
537	26.85585918
538	26.84286149
