iter	Passed	Remaining
0	21	17183
1	54	21594
2	97	25832
3	125	24897
4	167	26554
5	193	25652
6	217	24606
7	245	24317
8	273	24080
9	303	23977
10	341	24506
11	379	24936
12	418	25322
13	462	25940
14	510	26736
15	565	27701
16	604	27858
17	643	27973
18	668	27474
19	692	27002
20	722	26793
21	737	26086
22	756	25569
23	784	25375
24	809	25094
25	834	24830
26	869	24887
27	899	24800
28	927	24669
29	953	24470
30	984	24409
31	1013	24316
32	1046	24313
33	1100	24789
34	1155	25259
35	1187	25193
36	1220	25159
37	1401	28110
38	1433	27964
39	1480	28126
40	1526	28260
41	1561	28186
42	1608	28316
43	1636	28110
44	1669	28016
45	1694	27772
46	1726	27665
47	1758	27548
48	1791	27455
49	1822	27341
50	1854	27238
51	1884	27106
52	1910	26929
53	1937	26760
54	1971	26698
55	2011	26728
56	2034	26516
57	2074	26535
58	2100	26383
59	2131	26292
60	2161	26184
61	2192	26097
62	2222	26002
63	2256	25944
64	2288	25873
65	2319	25795
66	2354	25764
67	2379	25616
68	2407	25506
69	2434	25390
70	2461	25276
71	2487	25155
72	2515	25053
73	2553	25047
74	2586	25001
75	2613	24898
76	2641	24799
77	2666	24686
78	2696	24612
79	2723	24513
80	2751	24425
81	2789	24426
82	2828	24431
83	2864	24412
84	2909	24472
85	2950	24492
86	2990	24511
87	3034	24555
88	3074	24558
89	3107	24512
90	3133	24411
91	3162	24333
92	3189	24247
93	3215	24150
94	3243	24068
95	3271	23988
96	3303	23938
97	3330	23853
98	3352	23740
99	3384	23689
100	3418	23656
101	3461	23684
102	3500	23687
103	3533	23647
104	3561	23574
105	3591	23513
106	3624	23475
107	3655	23420
108	3679	23323
109	3710	23272
110	3739	23212
111	3778	23211
112	3799	23099
113	3829	23043
114	3860	22993
115	3892	22953
116	3923	22904
117	3951	22838
118	3986	22814
119	4028	22825
120	4065	22814
121	4087	22713
122	4118	22668
123	4145	22599
124	4178	22561
125	4212	22532
126	4239	22466
127	4272	22429
128	4293	22330
129	4321	22274
130	4345	22191
131	4380	22170
132	4410	22116
133	4448	22110
134	4477	22057
135	4506	22003
136	4534	21944
137	4560	21879
138	4583	21796
139	4607	21719
140	4629	21638
141	4653	21563
142	4676	21487
143	4706	21441
144	4735	21391
145	4769	21365
146	4800	21326
147	4825	21257
148	4862	21243
149	4897	21223
150	4940	21233
151	4983	21245
152	5020	21229
153	5047	21172
154	5074	21116
155	5107	21084
156	5135	21031
157	5164	20984
158	5194	20939
159	5218	20872
160	5251	20844
161	5281	20801
162	5303	20725
163	5334	20685
164	5366	20653
165	5391	20590
166	5414	20521
